发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2016/5/13 16:24,5.0,24.78,121.98,5.9,台湾宜兰县海域,台湾省,台湾
2016/5/12 12:29,5.8,24.77,122.02,15.0,台湾宜兰县海域,台湾省,台湾
2016/5/12 11:17,6.2,24.71,122.0,15.0,台湾宜兰县海域,台湾省,台湾
2016/5/11 9:15,5.5,31.99,94.94,6.9,西藏昌都市丁青县,西藏自治区,昌都
2016/4/28 2:19,5.2,23.26,121.3,8.3,台湾花莲县,台湾省,台湾
2016/4/27 23:17,5.6,24.22,121.71,7.5,台湾花莲县海域,台湾省,台湾
2016/2/18 9:09,5.0,23.04,120.88,10.0,台湾台东县,台湾省,台湾
2016/2/11 21:10,5.0,43.55,82.55,8.0,新疆伊犁州新源县,新疆维吾尔自治区,伊犁
2016/2/9 8:47,5.3,23.92,121.77,6.0,台湾花莲县海域,台湾省,台湾
2016/2/6 3:57,6.7,22.94,120.54,15.0,台湾高雄市,台湾省,台湾
2016/2/2 22:19,6.2,25.41,123.45,200.0,台湾东北部海域,台湾省,台湾
2016/1/21 1:13,6.4,37.68,101.62,10.0,青海海北州门源县,青海省,海北
2016/1/19 10:13,5.4,22.83,121.42,27.0,台湾台东县海域,台湾省,台湾
2016/1/14 5:18,5.3,42.19,84.12,5.0,新疆巴音郭楞州轮台县,新疆维吾尔自治区,巴音郭楞
2016/1/14 4:34,5.3,32.62,91.67,10.0,西藏那曲地区安多县,西藏自治区,那曲
2016/1/2 12:22,6.4,44.81,129.95,580.0,黑龙江牡丹江市林口县,黑龙江省,牡丹江
2015/11/23 5:02,5.2,38.0,100.4,10.0,青海省海北藏族自治州祁连县,青海省,海北
2015/11/11 23:33,5.0,24.5,122.7,90.0,台湾宜兰县附近海域,台湾省,台湾
2015/11/2 5:09,5.6,22.8,121.65,10.0,台湾台东县附近海域,台湾省,台湾
2015/10/30 19:26,5.1,25.06,99.5,10.0,云南省保山市昌宁县,云南省,保山
2015/10/19 10:17,5.3,24.94,122.01,7.0,台湾宜兰县附近海域,台湾省,台湾
2015/10/12 18:04,5.2,34.36,98.19,9.0,青海省果洛藏族自治州玛多县,青海省,果洛
2015/9/16 21:08,5.4,24.32,121.92,7.0,台湾宜兰县附近海域,台湾省,台湾
2015/9/16 3:37,5.7,24.33,121.86,7.0,台湾宜兰县附近海域,台湾省,台湾
2015/9/1 21:24,5.0,24.0,121.49,6.0,台湾花莲县,台湾省,台湾
2015/8/13 22:08,5.2,24.1,122.41,7.0,台湾花莲县附近海域,台湾省,台湾
2015/7/3 9:07,6.5,37.6,78.2,10.0,新疆维吾尔自治区和田地区皮山县,新疆维吾尔自治区,和田
2015/6/25 3:12,5.4,41.67,88.36,9.0,新疆维吾尔自治区吐鲁番地区托克逊县,新疆维吾尔自治区,吐鲁番
2015/5/11 16:38,5.0,24.52,120.56,10.0,台湾苗栗县附近海域,台湾省,台湾
2015/4/26 4:01,5.3,23.98,122.53,8.0,台湾花莲县附近海域,台湾省,台湾
2015/4/26 1:42,5.3,28.2,85.9,10.0,西藏自治区日喀则地区聂拉木县,西藏自治区,日喀则
2015/4/25 17:17,5.9,28.4,87.3,20.0,西藏自治区日喀则地区定日县,西藏自治区,日喀则
2015/4/20 20:00,6.0,24.1,122.5,20.0,台湾花莲县附近海域,台湾省,台湾
2015/4/20 19:45,5.9,24.1,122.5,20.0,台湾花莲县附近海域,台湾省,台湾
2015/4/20 9:42,6.4,24.0,122.5,7.0,台湾花莲县附近海域,台湾省,台湾
2015/4/15 15:39,5.8,39.79,106.34,10.0,内蒙古自治区阿拉善盟阿拉善左旗,内蒙古自治区,阿拉善
2015/3/30 9:47,5.5,26.65,108.82,7.0,贵州省黔东南苗族侗族自治州剑河县,贵州省,黔东南
2015/3/23 18:13,5.7,23.84,121.69,20.0,台湾花莲县附近海域,台湾省,台湾
2015/3/1 18:24,5.5,23.46,98.91,11.0,云南省临沧市沧源佤族自治县,云南省,临沧
2015/2/22 14:42,5.0,44.14,85.67,3.5,新疆维吾尔自治区塔城地区沙湾县,新疆维吾尔自治区,塔城
2015/2/14 4:06,6.2,22.61,121.54,7.0,台湾台东县附近海域,台湾省,台湾
2015/2/4 18:44,5.2,32.93,83.53,10.0,西藏自治区阿里地区改则县,西藏自治区,阿里
2015/1/14 13:21,5.0,29.33,103.19,14.0,四川省乐山市金口河区,四川省,乐山
2015/1/10 14:50,5.0,40.21,77.27,10.0,新疆维吾尔自治区克孜勒苏柯尔克孜自治州阿图什市,新疆维吾尔自治区,克孜勒苏
2015/1/7 12:48,5.2,24.34,121.7,10.0,台湾宜兰县,台湾省,台湾
2014/12/11 5:03,6.2,25.6,122.4,260.0,台湾新北市附近海域,台湾省,台湾
2014/12/6 18:20,5.9,23.32,100.5,10.0,云南省普洱市景谷傣族彝族自治县,云南省,普洱
2014/12/6 2:43,5.8,23.31,100.5,9.0,云南省普洱市景谷傣族彝族自治县,云南省,普洱
2014/11/25 23:19,5.8,30.18,101.73,16.0,四川省甘孜藏族自治州康定县,四川省,甘孜
2014/11/22 16:55,6.3,30.26,101.69,18.0,四川省甘孜藏族自治州康定县,四川省,甘孜
2014/11/20 1:46,5.4,25.0,122.08,6.0,台湾新北市附近海域,台湾省,台湾
2014/10/7 21:49,6.6,23.39,100.46,5.0,云南省普洱市景谷傣族彝族自治县,云南省,普洱
2014/10/2 23:56,5.1,36.35,97.76,16.0,青海省海西蒙古族藏族自治州乌兰县,青海省,海西
2014/10/1 9:23,5.0,28.37,102.76,15.0,四川省凉山彝族自治州越西县,四川省,凉山
2014/9/25 18:35,5.0,22.77,121.36,7.0,台湾台东县附近海域,台湾省,台湾
2014/8/17 6:07,5.0,28.1,103.5,7.0,云南省昭通市永善县,云南省,昭通
2014/8/3 16:30,6.5,27.1,103.34,12.0,云南省昭通市鲁甸县,云南省,昭通
2014/8/3 13:57,5.0,29.0,85.5,10.0,西藏自治区日喀则地区吉隆县,西藏自治区,日喀则
2014/7/11 21:11,5.1,26.3,125.9,130.0,台湾以北附近海域,台湾省,台湾
2014/7/9 5:52,5.1,39.31,78.27,8.0,新疆维吾尔自治区喀什地区麦盖提县,新疆维吾尔自治区,喀什
