发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2023/5/2 23:27,5.2,25.35,99.28,10.0,云南保山市隆阳区,云南省,保山
2023/2/27 7:58,5.1,41.87,79.85,10.0,新疆阿克苏地区温宿县,新疆维吾尔自治区,阿克苏
2023/1/30 7:49,6.1,40.01,82.29,50.0,新疆阿克苏地区沙雅县,新疆维吾尔自治区,阿克苏
2023/1/26 3:49,5.6,29.63,102.01,11.0,四川甘孜州泸定县,四川省,甘孜
2022/12/22 10:47,5.0,35.56,99.14,9.0,青海果洛州玛多县,青海省,果洛
2022/12/15 12:03,5.9,23.73,121.79,10.0,台湾花莲县海域,台湾省,台湾
2022/12/8 0:54,5.1,23.77,121.71,30.0,台湾花莲县海域,台湾省,台湾
2022/11/19 1:27,5.0,23.37,102.26,8.0,云南红河州红河县,云南省,红河
2022/11/13 9:47,5.0,22.44,121.1,10.0,台湾台东县海域,台湾省,台湾
2022/11/10 13:01,5.6,28.35,94.48,10.0,西藏林芝市墨脱县,西藏自治区,林芝
2022/10/23 23:06,5.1,37.71,77.85,17.0,新疆和田地区皮山县,新疆维吾尔自治区,和田
2022/10/22 13:17,5.0,29.61,102.03,12.0,四川甘孜州泸定县,四川省,甘孜
2022/10/19 12:35,5.5,37.69,92.3,11.0,青海海西州茫崖市,青海省,海西
2022/10/16 16:54,5.1,39.42,78.13,17.0,新疆喀什地区巴楚县,新疆维吾尔自治区,喀什
2022/10/11 3:24,5.6,23.93,122.26,20.0,台湾花莲县海域,台湾省,台湾
2022/9/19 10:07,5.7,23.42,121.35,10.0,台湾花莲县,台湾省,台湾
2022/9/18 17:39,5.4,23.28,121.34,10.0,台湾花莲县,台湾省,台湾
2022/9/18 14:44,6.9,23.15,121.3,10.0,台湾花莲县,台湾省,台湾
2022/9/18 14:32,5.0,23.17,121.2,10.0,台湾台东县,台湾省,台湾
2022/9/18 13:19,5.7,23.09,121.27,12.0,台湾台东县,台湾省,台湾
2022/9/17 22:45,5.3,23.1,121.25,10.0,台湾台东县,台湾省,台湾
2022/9/17 21:41,6.5,23.05,121.21,10.0,台湾台东县,台湾省,台湾
2022/9/5 12:52,6.8,29.59,102.08,16.0,四川甘孜州泸定县,四川省,甘孜
2022/8/14 16:20,5.9,33.14,92.85,10.0,青海玉树州杂多县,青海省,玉树
